,Year,company_data,branch_data,Consol_Assets,Domestic_Assets,Pct_Domestic_Assets
1,2019,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2337646,1807763,77
2,2018,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2367127,1790081,76
3,2017,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2354812,1773365,75
4,2016,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2292334,1708663,75
5,2015,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2218960,1659733,75
6,2014,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2194835,1639236,75
7,2013,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2167700,1644981,76
8,2012,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2198296,1676806,76
9,2011,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2140778,1649874,77
10,2010,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2153028,1648655,77
11,2009,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2152006,1631896,76
12,2008,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2138002,1627733,76
13,2007,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2082803,1599448,77
14,2006,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,33,2118497,1602352,76
15,2005,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,30,2051004,1542630,75
16,2004,JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,30,2015718,1513077,75
